,importance
59,0.016981065670675487
103,0.015582265775437637
33,0.012228820759555732
130,0.008641278277485512
351,0.007785411998965164
213,0.007503611591899793
21,0.007316702085091253
577,0.007229880482702792
477,0.007224836987926987
341,0.006953791001670409
64,0.0068918321286418486
183,0.006800062717825774
31,0.006793157708094635
510,0.006067392586743725
65,0.005752899150830111
180,0.005752108302866692
81,0.005438169194301192
455,0.005369735048752231
129,0.005070778050329896
205,0.0047751247361022585
126,0.004705584593389038
91,0.004599604379274866
488,0.004568148809075061
121,0.004490193815087449
281,0.004455717060825214
446,0.004428441469570805
426,0.0043352145994133544
452,0.004208903420610197
146,0.0042068205417442875
323,0.004108686581310888
125,0.004075328973611874
425,0.004023038206522862
102,0.00401477171803835
124,0.003995337443822057
152,0.0039689366707074385
188,0.003954681266206687
336,0.0038703048317761564
287,0.0038356744736079006
319,0.00383231389620969
79,0.0037915632359095475
14,0.0037050616963258355
423,0.0036826091017211574
310,0.0036277766252127085
317,0.0036179513128534223
348,0.0035946293650535844
78,0.003542932869677725
153,0.003531060268779143
417,0.003491798020862283
39,0.0034724428755101883
175,0.0034252913780320974
58,0.0034004105343872697
405,0.0033475092001036934
28,0.0033383824639525565
90,0.003302585382841266
25,0.0032898455340025705
469,0.0032513928267421345
573,0.00323578627415676
270,0.003229051610725295
8,0.003225372858182461
430,0.0032122265075771954
200,0.0031908314951908027
295,0.003177201652467967
123,0.0031680910586719424
431,0.0031491686549475306
298,0.0031337146203687296
562,0.003119830772564262
63,0.003091185485640246
333,0.0030756312788401373
15,0.0030623119756575247
127,0.0030337672794813948
331,0.0030224852418293075
22,0.0030096176204994054
460,0.0030054192590011747
86,0.002987358437246698
61,0.002969709536640599
37,0.0029655589100634496
282,0.0029588127479067677
280,0.0029278172160956124
55,0.0029150603140336907
294,0.002913550713458456
115,0.0028968569501293725
132,0.0028552737097043072
563,0.002842604329243241
420,0.0028314336266761736
559,0.002828025039932177
16,0.002803642750471783
113,0.002772494971884986
187,0.0027678172973306463
522,0.002738575342928653
1,0.0027309833161341984
131,0.00271664738571533
210,0.0027160046907436447
100,0.002712700346907713
316,0.0026996672549052937
524,0.002691132118830771
107,0.0026884976340787307
468,0.002678419023458849
75,0.0026652312631673756
456,0.002661493320234736
227,0.002657353396487919
309,0.00265267026313967
480,0.0026413609128911686
511,0.0026393427005870817
390,0.0026349197712423533
160,0.0026316869136718043
429,0.0026303864054879078
454,0.0026033707050120616
475,0.002601496018849966
197,0.0025907319564542146
499,0.0025830463193737795
51,0.0025807753418494715
218,0.0025772276242091085
163,0.0025752875916597406
208,0.0025729485372885663
6,0.0025531158615054155
122,0.0025444587158349637
133,0.002523381291864682
296,0.0025174140981496233
587,0.0024996554901167752
408,0.0024893405475523178
388,0.0024888963419067776
416,0.0024781186935421205
82,0.0024627992313353262
147,0.002460646740511478
138,0.002460297296879025
45,0.0024550510188699865
489,0.0024442468118998427
434,0.002444028113389591
433,0.002425499728427136
377,0.002414471913115533
67,0.002395667497438927
250,0.002372839779277357
96,0.0023721629007770985
17,0.002367222283921791
56,0.002364956178295475
324,0.002364937594376443
285,0.002363179652872452
66,0.0023535515581965503
353,0.0023523345159966436
410,0.002344505318333125
432,0.0023402615441233633
411,0.002302635902435645
40,0.0022852948698745836
145,0.002281123440372382
10,0.002276330610399998
355,0.0022597031685167783
459,0.0022589623798361623
7,0.002254380347338796
0,0.002248458913797906
202,0.002245908596664264
144,0.0022359564793787094
588,0.0022231385649648704
182,0.0022178551926888574
47,0.0022148675829409483
252,0.0022140659758050547
392,0.002211091743085947
274,0.0022040252432700812
307,0.002200348773805833
62,0.0021999854374760938
120,0.0021916336159316825
201,0.002190392415333675
108,0.0021832632694935824
415,0.002180485283685354
135,0.0021747947427208925
195,0.0021500281570512344
19,0.002147589105578102
290,0.002145325753497106
343,0.0021428706420887913
539,0.002134162962200982
30,0.0021193830611345777
43,0.002117743609317013
216,0.0021172190302282813
118,0.0021142994725013922
11,0.0021096058545206913
424,0.002109232279604285
198,0.002105272385948547
447,0.0021044708245828003
172,0.0020992605592794304
574,0.002089857479590453
34,0.0020888286282753285
523,0.002088308060738378
546,0.002072556577661315
547,0.0020703520875683394
279,0.002062814567773822
24,0.0020552696882554446
9,0.002049597851425283
212,0.002036218649949225
26,0.0020323621169349307
228,0.0020321086218771946
181,0.0020293823193753818
354,0.0020272299088018348
318,0.002021551086671313
117,0.0020199774499690573
150,0.002018489833523171
448,0.002015044934907821
440,0.0020006793441222463
437,0.0019997338504263483
272,0.0019968308740545854
288,0.0019942549315529047
312,0.0019936719352305486
48,0.0019936694319381953
428,0.00199261220792929
184,0.0019879388695267395
93,0.00198722490059231
215,0.001984695165324751
207,0.0019774758779762336
88,0.0019690795889216474
137,0.0019573799325358363
291,0.0019573455910322905
444,0.0019569394566300285
363,0.0019568492036671045
473,0.0019559987432852537
89,0.0019445147994788584
253,0.0019397964134966641
29,0.0019218855584923946
495,0.001907778723502099
35,0.0019011429251821557
571,0.0018973573954505665
412,0.0018961938482675291
273,0.0018947542425447022
467,0.0018933623601310268
338,0.0018900332703211647
92,0.0018894116383670412
104,0.001884383960552593
271,0.001882101730896214
484,0.001874162504126655
308,0.0018721027131292237
136,0.001865175249527352
267,0.0018634053700269057
561,0.001861215815849761
27,0.0018534023038959805
453,0.001851786445258503
443,0.0018515786239002739
176,0.001847263820147505
174,0.0018414310428304175
335,0.001839244012883116
223,0.0018317523668046525
286,0.0018173892834401283
445,0.0018147988228993253
560,0.001813929395309457
558,0.0018116687780858989
302,0.001811085635770492
269,0.0018107155891079444
406,0.0018081923950128084
71,0.0018048368690359445
575,0.0018021853818229751
441,0.0018018682238269221
555,0.0017974999995959099
18,0.001795953730603999
196,0.001788554920694664
95,0.001773714878879453
76,0.0017734460480812234
221,0.0017721629930254168
438,0.0017668031120843335
36,0.0017662119932812899
557,0.0017639970164695482
490,0.001760166196646143
576,0.0017543230478783984
169,0.001753176575780339
155,0.0017515632274440792
572,0.0017495199418344405
68,0.001748375670533977
586,0.0017477625726256595
173,0.0017432080562907269
474,0.001731810277790548
337,0.0017254318098817573
251,0.001724874704833403
356,0.0017248003269126583
365,0.001724397078584133
84,0.0017085087061149851
409,0.0017072227641191677
297,0.0017067106758350088
321,0.0017038954610617684
161,0.0017008792784517907
391,0.0016960601454955996
479,0.0016942573343824727
542,0.0016902343122954838
54,0.0016900017236266855
435,0.0016858267781817583
589,0.0016816086073589685
554,0.0016717554715150642
344,0.0016697434767394517
526,0.001669276331349475
487,0.0016690174691785672
436,0.0016667319574248701
439,0.0016606726273875974
211,0.0016503553920903316
142,0.0016489405763530464
494,0.0016473831614413272
339,0.0016468966545639249
254,0.0016413007187332169
497,0.001641094258350673
583,0.0016305720431202845
551,0.0016303111077061144
549,0.0016260076675524433
171,0.001622112821836685
99,0.0016216966894640995
320,0.0016209103881128556
50,0.0016157260207128857
2,0.0016133366067006374
98,0.0016097545161616281
340,0.001603922923750178
12,0.0016025617801108563
540,0.0015982316477411434
520,0.0015974285561606142
349,0.0015973244458391373
569,0.0015899560820063893
57,0.0015898145204692924
222,0.0015887697268375447
550,0.0015865107500554973
359,0.0015845804749006866
304,0.0015778426138706159
83,0.0015763403304832025
500,0.0015720771130261107
70,0.001572043737739552
493,0.0015679805795996453
268,0.001567621150622015
584,0.001565578537693249
525,0.0015642164766897719
199,0.0015590193329743194
156,0.0015556426755563727
139,0.0015528672415014283
471,0.001545892437194523
470,0.0015433341463367207
303,0.0015369352327061925
217,0.0015368612402664984
159,0.001536679287291825
567,0.0015352043629283105
203,0.0015293296113334171
164,0.001521097799169566
128,0.0015197044521522848
485,0.001517638184532599
352,0.0015099997542644653
275,0.0015027569861577083
527,0.0014941263756295077
306,0.0014902714821903318
60,0.0014881197195427934
491,0.00148385691321155
421,0.0014715325970100577
4,0.0014636104692621916
105,0.0014610667178016515
177,0.001447385100457817
486,0.001446518413981533
224,0.0014427411945546597
570,0.001440112605846533
299,0.0014288359493780894
556,0.0014232511587228842
23,0.0014196534894708782
289,0.0014175651176661199
419,0.0014135629662848578
543,0.00140304050522819
472,0.0014011358533347203
255,0.0013980936281023507
476,0.0013963923208025852
368,0.001396106320219251
134,0.001383067024944398
366,0.001379990632531377
154,0.0013760025791667127
225,0.001366898111318465
53,0.0013643674449778528
541,0.0013629643130419746
185,0.0013602639431764263
427,0.001355827132914488
278,0.0013501800078376126
457,0.0013493007023257458
170,0.0013478993231448974
496,0.0013475318343111134
20,0.0013433820934357372
311,0.0013381204807657366
77,0.0013267754992033665
32,0.0013216461062985224
3,0.0013132801409638517
552,0.0012903942445844083
407,0.0012897957581674455
393,0.0012884949004877111
361,0.0012859391296657324
46,0.0012791707101119062
165,0.0012540963034621544
585,0.0012522756075894687
300,0.0012519628057073432
119,0.0012477794951646817
376,0.0012464814351647003
548,0.001242989818103008
442,0.0012409452116423046
219,0.001236048938027084
44,0.0012349493134484084
350,0.0012282188771427186
162,0.001199101395775212
214,0.0011937398552049256
140,0.0011930935694338112
238,0.00119014007230087
360,0.0011833273738544887
386,0.0011808752174932416
248,0.0011807029082189077
582,0.0011775069263419372
106,0.0011764538977918123
168,0.0011756486751239052
116,0.0011670643628932257
482,0.0011600580109993785
413,0.001130756759118849
87,0.0011263355712518267
565,0.0011197696720149654
38,0.001097154928467743
204,0.0010938854797679764
143,0.0010743599646778918
357,0.0010609127462351709
151,0.0010553302067659307
41,0.0010546671512843952
283,0.0010510798545259991
483,0.0010328277785997691
301,0.0010321985785138104
545,0.001023740190650684
334,0.0009798167210720605
166,0.0009784372559590237
148,0.00097392465228463
239,0.0009703843443367291
277,0.0009668842260173197
305,0.0009395318486632729
553,0.0009133553716108363
566,0.0009131598730649247
367,0.0008833669371890393
332,0.000864293401329431
362,0.0008315645767061499
568,0.0007843566169606199
80,0.0007646264967893776
564,0.0007482743075059648
418,0.0006424716924255277
544,0.0005972326094301286
94,0.0005644049276648292
389,0.0005366034339703663
167,0.00044000150348238906
101,0.00036227622839856853
114,9.989475682665848e-05
387,6.008784446507367e-05
209,2.8150298368408046e-18
521,2.7459019746196383e-18
249,1.7903673987417974e-18
347,3.8371601975152926e-19
74,3.230612553176134e-19
206,0.0
342,0.0
478,0.0
